title,pageid,context,rating
Chair,262642,"A chair is a piece of furniture with a raised surface supported by legs, commonly used to seat a single person. Chairs are supported most often by four legs and have a back; however, a chair can have three legs or can have a different shape. Chairs are made of a wide variety of materials, ranging from wood to metal to synthetic material (e.g. plastic), and they may be padded or upholstered in various colors and fabrics, either just on the seat (as with some dining room chairs) or on the entire chair. Chairs are used in a number of rooms in homes (e.g. in living rooms, dining rooms, and dens), in schools and offices (with desks), and in various other workplaces.
A chair without a back or arm rests is a stool, or when raised up, a bar stool. A chair with arms is an armchair; one with upholstery, reclining action, and a fold-out footrest is a recliner. A permanently fixed chair in a train or theater is a seat or, in an airplane, airline seat; when riding, it is a saddle or bicycle saddle; and for an automobile, a car seat or infant car seat. With wheels it is a wheelchair; or when hung from above, a swing. An upholstered, padded chair for two people is a 'loveseat', while if it is for more than two person it is a couch, sofa, or settee; or if is not upholstered, a bench. A separate footrest for a chair, usually upholstered, is known as an ottoman, hassock, or pouffe.",12
History of the chair,1139545,"


",17
List of chairs,1139538,"The following is a partial list of chair types, with internal or external cross-references about most of the chairs.

",87
10 Downing Street Guard Chairs,14713126,"The 10 Downing Street Guard Chairs are two antique chairs. In the early 19th century, 10 Downing Street was guarded by two men who sat outside the building in leather chairs made by Thomas Chippendale. There was a drawer underneath the chair which was filled with hot coals to keep the guards warm whilst on duty. The chairs were made with a circular back and hood, both to shield the guards from bad weather and to improve the surrounding acoustics, thereby allowing the guard to hear better from a wider angle.",7
111 Navy Chair,52664281,The Emeco 111 Navy Chair is a recycled plastic chair manufactured by Emeco. It is based on the Emeco 1006 chair originally built for Navy warships during World War II.,20
Adirondack chair,1573357,"The Adirondack chair (in Canada, more commonly called a Muskoka chair) is a simple chair made of wood or man made materials, generally used outdoors. Originally made with 11 flat wooden boards, it features a straight back and seat and wide armrests. The advent of various man made materials have allowed for this style of chair to be made from polymers and other hard impact plastics.
The first Adirondack chair was designed by Thomas Lee while vacationing in Westport, New York, in the Adirondack Mountains in 1903. Needing outdoor chairs for his summer home, he tested his early efforts on his family. After arriving at a final design for a ""Westport plank chair"", he offered it to a carpenter friend in Westport in need of a winter income, Harry Bunnell. Bunnell saw the commercial potential of such an item being offered to Westport's summer residents, and apparently without asking Lee's permission filed for and received U.S. patent #794,777 in 1905. Bunnell manufactured hemlock plank ""Westport chairs"" for the next twenty years, painted in green or medium dark brown, and individually signed by him.
Modern Adirondack chairs usually feature a rounded back and contoured seat, modifications made by Irving Wolpin, who received U.S. patent #109239 for his design in 1938.",78
Aeron chair,65535,"The Aeron chair is an office chair designed in 1992 by Don Chadwick and Bill Stumpf. It has been called ""America's best-selling chair"" (as of 2010) and is featured in the Museum of Modern Art's permanent collection.



",79
Airport Seating,30576042,"An airport chair or airport seating is seating within an airport.
Airport terminals designed by major architects such as Renzo Piano (Kansai International Airport) or Richard Rogers (London Heathrow Terminal 5) require high quality seating to match the general quality of their interiors.
Fire safety is a significant consideration at airports. Regulations now govern the contents of airport terminals and this affects the choice of materials used for the seating. Werner Sobek designed the airport chair Expression using only aluminium in a simple form.
Recent firms and designers involved in the highly lucrative and competitive business include Porsche, Vitra, Sir Norman Foster, and Alberto Meda.
Business travellers commonly wish to use laptop computers while waiting and so seating for them may incorporate a charging point and a form of desk.
Robert Sommer studied the design of airport seating and concluded that the arrangement of chairs in rigid lines bolted to the floor was deliberately sociofugal — discouraging social interaction such as conversation and encouraging the sitters to go to commercial locations such as shops and cafes. The provision of arms on the chairs increased the usage of the chairs, as compared with bench seats without arms. Strangers are more comfortable sitting adjacent each other if there is an arm to mark their personal space. The parallel orientation of the modular seat units also minimises face-to-face contact and this is less threatening for strangers.",52
Aline Chair,24382818,"The Aline Chair is a product of Wilkhahn, introduced in 1994 and was designed by Andreas Störiko. The Aline chair was made from hazardous free substances.",80
Ant (chair),3549402,"The Ant (Danish: Myren) chair is a classic of modern chair design. It was designed in 1952 by Arne Jacobsen for use in the canteen of the Danish pharmaceutical firm Novo Nordisk. The Ant was named for its approximate similarity to the outline of an ant with its head raised.
The chair was designed to be light, stable, easy to stack up, and to minimise tangling the user's feet. The original model had three plastic legs and a seat made from form-moulded laminated veneer; Novo ordered just 300 of them. They were manufactured by Fritz Hansen. The chair has since proved very popular although the plastic in the legs was replaced by tubular steel, and a version with four legs was also made.",0
Archelis,49340272,"Archelis (literally, ""walkable chair"" in Japanese) is a wearable chair designed and manufactured by Yokohama-based mold factory, Nitto in association with Japan Polymer Technology, Chiba University's Center for Frontier Medical Engineering and Hiroaki Nishimura Design. The purpose of the chair is to aid industry workers and medical surgeons who had to work for long hours standing. As of February 2016, it is specially designed for medical surgeons, allowing them to sit during physically demanding surgical operations which reduces fatigue in surgeons.
",15
Armrest,6235793,"In an automotive context, an armrest (or arm rest) is a feature found in many modern vehicles on which occupants can rest their arms. Armrests are also found on chairs in general.
Armrests are more prolific in larger, more expensive models of car.",26
Artek (company),2768418,"Artek is a Finnish furniture company. It was founded in December 1935 by architect Alvar Aalto and his wife Aino Aalto, visual arts promoter Maire Gullichsen and art historian Nils-Gustav Hahl. The founders chose a non-Finnish name, the neologism Artek was meant to manifest the desire to combine art and technology. This echoed a main idea of the International Style movement, especially the Bauhaus, to emphasize the technical expertise in production and quality of materials, instead of historical-based, eclectic or frivolous ornamentation.
The original aim of the venture was to promote the furniture and glassware of Alvar Aalto and Aino Aalto, and to produce furnishings for their buildings. Before 1935 the Aaltos' designs were manufactured by Huonekalu-ja Rakennustyötehdas Oy in Turku. That company was renamed Huonekalutehdas Korhonen Oy and moved to Littoinen, but now Artek and both companies are all part of Vitra (furniture). Artek have their own in-house designers, such as renown Ben af Schulten. Originally, the studio was set up ostensibly to assist Aalto's architects' office with interior designs for his buildings. Since Aalto's passing in 1976 the company has sold design objects by other Finnish designers, such as Juha Leiviskä and Eero Aarnio, as well as Vitra furniture.





",97
Attila's Throne,30802455,"Attila's Throne is an ancient stone chair. It has, however, nothing to do with the king of the Huns, as it was put into place around 100 years after his death, it was most likely the podestà’s or the bishop’s chair. The chair is located on the quiet and sparsely populated island of Torcello at the northern end of the Venetian Lagoon in Italy.",85
Ball Chair,5571571,The Ball Chair was designed by Finnish furniture designer Eero Aarnio in 1963. The Ball Chair is also known as the globe chair and is famous for its unconventional shape. It is considered a classic of industrial design. More recent versions have increased the overall size and added interesting features including music and MP3 player integration.,37
Barber chair,20164429,"A barber chair is a chair for customers to a barber or hairdresser.



",95
Barcalounger,8635180,"A Barcalounger is a type of recliner made in the United States of America. It was introduced by the Barcalo Manufacturing Company of Buffalo, New York, which eventually became the Barcalounger Company. The chairs are currently produced in Morristown, Tennessee, after the company filed for bankruptcy and shuttered its facilities in Rocky Mount, North Carolina and Martinsville, Virginia.
Barcalo Manufacturing also made beds in Welland, Ontario under the Quality Beds name in the first decade of the 20th century. It is reputed to be the first American company to allow its employees coffee breaks, in 1902.



",78
Barcelona chair,522187,"The Barcelona chair is a chair designed by Ludwig Mies van der Rohe and Lilly Reich. It was originally designed for the German Pavilion, that country's entry for the International Exposition of 1929, which was hosted by Barcelona, Catalonia, Spain. It was first used in Villa Tugendhat, a World Heritage Site designed by Mies van der Rohe in the city of Brno (Czech Republic).
",97
Bath chair,2109563,"A bath chair—or Bath chair—was a rolling chaise or light carriage for one person with a folding hood, which could be open or closed. Used especially by disabled persons, it was mounted on three or four wheels and drawn or pushed by hand. It is so named from its origin in Bath, England, and possibly also after its similarity in appearance to an old-fashioned bathtub. If required, the chair could also be mounted on four wheels and drawn by a horse, donkey or small pony with the usual turning arrangement. James Heath, of Bath, who flourished before the middle of the 18th century, was the inventor.
Later versions were a type of wheelchair which is pushed by an attendant rather than pulled by an animal. In the 19th century they were often seen at spa resorts such as Buxton and Tunbridge Wells. Some versions incorporated a steering device that could be operated by the person in the chair.",54
Miriam Benjamin,33737968,"Miriam E. Benjamin (September 16, 1861 – 1947) was an American school teacher and inventor from Washington, D.C. On July 17, 1888 she obtained a patent for her invention, the Gong and Signal Chair for Hotels. The chair would ""reduce the expenses of hotels by decreasing the number of waiters and attendants, to add to the convenience and comfort of guests and to obviate the necessity of hand clapping or calling aloud to obtain the services of pages."" The chair worked when the person sitting would press a small button on the back of the chair which would then send a signal to a waiting attendant. A light would illuminate as well, allowing the attendant to see which guest needed help. The system was eventually adopted by the United States House of Representatives and was a precursor to the signaling system used on airplanes for passengers to seek assistance from flight attendants.",22
