title,pageid,context,rating
Rail transport,25715,"Rail transport is a means of transferring of passengers and goods on wheeled vehicles running on rails, also known as tracks. It is also commonly referred to as train transport. In contrast to road transport, where vehicles run on a prepared flat surface, rail vehicles (rolling stock) are directionally guided by the tracks on which they run. Tracks usually consist of steel rails, installed on ties (sleepers) and ballast, on which the rolling stock, usually fitted with metal wheels, moves. Other variations are also possible, such as slab track, where the rails are fastened to a concrete foundation resting on a prepared subsurface.
Rolling stock in a rail transport system generally encounters lower frictional resistance than road vehicles, so passenger and freight cars (carriages and wagons) can be coupled into longer trains. The operation is carried out by a railway company, providing transport between train stations or freight customer facilities. Power is provided by locomotives which either draw electric power from a railway electrification system or produce their own power, usually by diesel engines. Most tracks are accompanied by a signalling system. Railways are a safe land transport system when compared to other forms of transport. Railway transport is capable of high levels of passenger and cargo utilization and energy efficiency, but is often less flexible and more capital-intensive than road transport, when lower traffic levels are considered.
The oldest known, man/animal-hauled railways date back to the 6th century BC in Corinth, Greece. Rail transport then commenced in mid 16th century in Germany in form of horse-powered funiculars and wagonways. Modern rail transport commenced with the British development of the steam locomotives in the early 19th century. Thus the railway system in Great Britain is the oldest in the world. Built by George Stephenson and his son Robert's company Robert Stephenson and Company, the Locomotion No. 1 is the first steam locomotive to carry passengers on a public rail line, the Stockton and Darlington Railway in 1825. George also built the first public inter-city railway line in the world to use only the steam locomotives all the time, the Liverpool and Manchester Railway which opened in 1830. With steam engines, one could construct mainline railways, which were a key component of the Industrial Revolution. Also, railways reduced the costs of shipping, and allowed for fewer lost goods, compared with water transport, which faced occasional sinking of ships. The change from canals to railways allowed for ""national markets"" in which prices varied very little from city to city. The invention and development of the railway in the United Kingdom was one of the most important technological inventions of the 19th century. The world's first underground railway, the Metropolitan Railway (part of the London Underground), opened in 1863.
In the 1880s, electrified trains were introduced, leading to electrification of tramways and rapid transit systems. Starting during the 1940s, the non-electrified railways in most countries had their steam locomotives replaced by diesel-electric locomotives, with the process being almost complete by the 2000s. During the 1960s, electrified high-speed railway systems were introduced in Japan and later in some other countries. Many countries are in process of replacing diesel locomotives with electric locomotives, mainly due to environmental concerns, a notable example being Switzerland, which has completely electrified its network. Other forms of guided ground transport outside the traditional railway definitions, such as monorail or maglev, have been tried but have seen limited use.
Following decline after World War II due to competition from cars, rail transport has had a revival in recent decades due to road congestion and rising fuel prices, as well as governments investing in rail as a means of reducing CO2 emissions in the context of concerns about global warming.",24
Train,30598,"A train is a form of rail transport consisting of a series of connected vehicles that usually runs along a rail track to transport cargo or passengers. Motive power is provided by a separate locomotive or individual motors in self-propelled multiple unit. Although historically steam propulsion dominated, the most common modern forms are diesel and electric locomotives, the latter supplied by overhead wires or additional rails. Other energy sources include horses, engine or water-driven rope or wire winch, gravity, pneumatics, gas turbines and batteries. Train tracks usually consist of two running rails, sometimes supplemented by additional rails such as electric conducting rails and rack rails, with a limited number of monorails and maglev guideways in the mix.
There are various types of trains that are designed for particular purposes. A train may consist of a combination of one or more locomotives and attached railroad cars, or a self-propelled multiple unit (or occasionally a single or articulated powered coach, called a railcar). The first trains were rope-hauled, gravity powered or pulled by horses. From the early 19th century almost all were powered by steam locomotives. From the 1910s onwards the steam locomotives began to be replaced by less labor-intensive and cleaner (but more complex and expensive) diesel locomotives and electric locomotives, while at about the same time self-propelled multiple unit vehicles of either power system became much more common in passenger service.
A passenger train is one which includes passenger-carrying vehicles which can often be very long and fast. One notable and growing long-distance train category is high-speed rail. In order to achieve much faster operation over 500 km/h (310 mph), innovative maglev technology has been researched for years. In most countries, such as the United Kingdom, the distinction between a tramway and a railway is precise and defined in law. The term light rail is sometimes used for a modern tram system, but it may also mean an intermediate form between a tram and a train, similar to a heavy rail rapid transit system except that it may have level crossings. A freight train (also known as a goods train) uses freight cars (also known as wagons or trucks) to transport goods or materials (cargo). Freight and passengers may be carried in the same train in a mixed consist.
Rail cars and machinery used for maintenance and repair of tracks, etc., are termed maintenance of way equipment; these may be assembled into maintenance of way trains. Similarly, dedicated trains may be used to provide support services to stations along a train line, such as garbage or revenue collection.",61
Aegean Express,51360346,"The Aegean Express, numbered as B31 (Turkish: Ege Ekspresi), is a passenger train operating daily between Alsancak Terminal in İzmir to Balıkesir. The train operates as a local service on the route, calling at more stations than its counterpart, the Karesi Express; which also operates between İzmir and Balıkesir.
Originally the train operated between İzmir and Eskişehir, via Balıkesir and Kütahya, as a daily inter-city train. The route was then changed to Afyon, also via Balıkesir and Kütahya and in 2013 it was shortened to a regional train service between İzmir and Balıkesir.",27
APRHF Rail Rangers,49793013,"APRHF Rail Rangers is one of several affiliates of the American Passenger Rail Heritage Foundation (APRHF), a 501(c)(3) non-profit organization whose mission is to preserve and promote the role that passenger rail played in the building of the United States of America.
Interpretive Guides with APRHF Rail Rangers provide educational interpretive programs on-board the South Shore Line between Chicago and South Bend, private rail excursions, group rail charters, and at various railroad museums and train shows. The organization is operated out of the APRHF Headquarters in La Plata, Missouri, however most guides live in the Chicago area. Most APRHF Rail Rangers excursions and outreach events take place in the Upper Midwest, including in Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, and Wisconsin.",18
Boat train,19059211,"A boat train is a passenger train operating to a port for the specific purpose of making connection with a passenger ship, such as a ferry or ocean liner. Through ticketing is normally available.",82
Car shuttle train,27919355,"A car shuttle train, or (sometimes) car-carrying train (French: navette-auto; German: Autoverladung; Swiss German: Autoverlad), is a shuttle train used to transport accompanied cars (automobiles), and usually also other types of road vehicles, for a relatively short distance.
Car shuttle trains usually operate on lines passing through a rail tunnel and connecting two places not easily accessible to each other by road. On car shuttle train services, the occupants of the road vehicles being carried on the train usually stay with their vehicle throughout the rail journey.
As such, car shuttle train services are to be contrasted with Auto Train or Motorail services. Unlike a car shuttle train, an Auto Train or Motorail train is a passenger train on which, except in France, passengers can take their car or automobile along with them. On Auto Trains or Motorail trains, passengers are carried in normal passenger cars or in sleeping cars on longer journeys, while the cars or automobiles are loaded separately into autoracks, car carriers, or flatcars that normally form part of the same train.



",11
Circus train,1851264,"A circus train is a method of conveyance for circus troupes. One of the larger users of circus trains was the Ringling Bros. and Barnum &amp; Bailey Circus (RBBX), a famous American circus formed when the Ringling Brothers Circus purchased the Barnum and Bailey Circus in 1907.  In 1872 the P.T. Barnum Circus had grown so large that it was decided that they would only play at large venues, and that they would travel by train. P.T. Barnum had two of his partners, William Cameron Coup and Dan Costello, come up with a system to load the circus wagons on to railroad flat cars. Using a system of inclined planes, called runs, and crossover plates between cars, they developed a system of ropes and pulleys, along with a snubber post to get the wagons on and off of the flat cars. They used horses to pull the wagons up the run and then would hitch a second team to pull it down the run cars (flats). The off-loading was much the same as loading, but a snubber post was used to help brake the wagons' descent down the run. That system, first used in 1872, is still used today by the RBBBC, although through more modern methods.  When the circus switched to travel by train they began by using flatcars from the Pennsylvania Railroad, which turned out to be hazardous because the Pennsylvania Railroad's cars were in poor shape. In mid-season it was decided that they would buy their own cars, and when the P.T. Barnum Circus left Columbus, Ohio, it traveled on the first circus-owned train. It was made up of sixty cars, including forty-five flatcars carrying about 100 wagons.  Circus trains have proven well-suited for the transportation of heavy equipment (tents, rolling wagons, vehicles and machinery) and animals (elephants, lions, tigers and horses), despite tragic accidents over the years.  Ringling Bros. and Barnum &amp; Bailey Circuses separately and together grew to dominate live entertainment through their frequent purchases of many other American circuses. In modern times, they traveled in two circus trains, the blue unit and the red unit, following an alternating two-year schedule to bring a new show to each location once a year. The RBBB circus trains were more than one mile (1.6 km) in length, and included living quarters for the performers and animal keepers. There were also special stock cars for the exotic animals and flatcars for the transportation of circus wagons, equipment, and even a bus used for local transportation at performance sites.
Another, the last operating carnival train in the United States, is operated in the east by Strates Shows.
Famous cinematic portrayals of circus trains include 1941's Dumbo by Ben Sharpsteen, starring Verna Felton and Margaret Wright, 1947's Fun and Fancy Free by Jack Kinney, Bill Roberts and Hamilton Luske, starring Edgar Bergen and Dinah Shore, 1952's The Greatest Show on Earth by Cecil B. DeMille, starring Charlton Heston, 1989's Indiana Jones and the Last Crusade by Steven Spielberg and George Lucas and 2011's Water for Elephants based on Sara Gruen's 2006 novel of the same name, by Francis Lawrence, starring Robert Pattinson, Reese Witherspoon and Christoph Waltz.
",62
CTA Holiday Train,26943856,"The CTA Holiday Train is a Chicago 'L' train which traditionally runs during the winter holidays, from November to December. Six cars are traditional passenger cars adorned with seasonal decorations and bright lights. The interior of these cars are adorned with multi-color lights, red bows, garland, and red and green overhead lighting. The hand poles are transformed into inedible candy canes. Santa Claus rides on an open-air flatcar and waves to the passengers coming aboard from his sleigh.
",51
Dartmoor Sunday Rover,54513931,"Dartmoor Sunday Rover, officially known as Summer Trains to Exeter from Okehampton, though most refer to it as the Sunday Rover, is a rail service in Devon, England. It is run by Great Western Railway, and Devon County Council supports it financially.",99
Dido (train),52011522,"In British railway parlance Dido trains were typically provided to transport workers to a remote place of railway employment on a Day in, day out basis.
The most common provision of this nature was to engine sheds away from centres of population where substantial numbers of staff would need to travel to or from work at times when other forms of public transport were not available. An example of this was the ""Annesley Dido"" which served the Great Central Railway-built Annesley engine shed north of Nottingham from at least 1929 to 8 September 1962.
A variant on this theme occurred to and from Langwith Junction engine shed in Derbyshire. This service was provided after Tuxford engine shed closed in 1959, when many Tuxford staff were transferred to work at Langwith Junction.",30
